Order Line,Order ID,Bar code value,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Sales,Quantity,Discount,Profit
45,ON-2019-147627,43825775,2019-07-13,2019-07-19,Standard Class,HL-15040,OFF-AR-10002375,22.96,7,0,6.6584
46,ON-2019-147627,72747277,2019-07-13,2019-07-19,Standard Class,HL-15040,FUR-FU-10003194,38.6,4,0,11.58
47,ON-2019-147627,40599368,2019-07-13,2019-07-19,Standard Class,HL-15040,OFF-AR-10003811,6.63,3,0,1.7901
48,ON-2019-147627,54614918,2019-07-13,2019-07-19,Standard Class,HL-15040,OFF-EN-10001539,23.34,3,0,10.9698
49,ON-2019-147627,45056389,2019-07-13,2019-07-19,Standard Class,HL-15040,FUR-CH-10002331,1067.94,3,0,224.2674
50,OF-2019-148614,96199664,2019-07-13,2019-07-18,Standard Class,MV-17485,OFF-PA-10002893,19.36,2,0,9.2928
51,OF-2019-148614,38164233,2019-07-13,2019-07-18,Standard Class,MV-17485,FUR-FU-10003194,19.3,2,0,5.79
52,OF-2019-167927,92214243,2019-07-13,2019-07-19,Standard Class,XP-21865,OFF-ST-10000760,13.98,1,0,4.0542
53,OF-2019-167927,12194726,2019-07-13,2019-07-19,Standard Class,XP-21865,FUR-FU-10002918,272.94,3,0,30.0234
54,OF-2019-167927,76203453,2019-07-13,2019-07-19,Standard Class,XP-21865,OFF-BI-10000605,19.05,5,0,8.9535
55,OF-2019-167927,40315083,2019-07-13,2019-07-19,Standard Class,XP-21865,OFF-AP-10002311,247.716,4,0.1,93.5816
56,OF-2019-167927,18132020,2019-07-13,2019-07-19,Standard Class,XP-21865,OFF-ST-10003123,66.58,2,0,15.9792
57,OF-2019-167927,10977312,2019-07-13,2019-07-19,Standard Class,XP-21865,OFF-AR-10004456,43.92,3,0,12.7368
58,OF-2019-167927,27725893,2019-07-13,2019-07-19,Standard Class,XP-21865,FUR-FU-10002268,14.73,3,0,4.8609
59,OF-2019-167927,84503372,2019-07-13,2019-07-19,Standard Class,XP-21865,OFF-BI-10004364,29.7,5,0,13.365
60,ON-2019-147774,80167889,2019-07-13,2019-07-19,Standard Class,MM-18280,OFF-BI-10003091,67.194,1,0.7,-51.5154
61,OF-2019-110422,62917645,2019-07-14,2019-07-16,Second Class,TB-21400,FUR-FU-10001889,25.248,3,0.2,4.1028
62,OF-2019-102645,54339939,2019-07-16,2019-07-21,Standard Class,IM-15055,OFF-PA-10001804,40.08,6,0,19.2384
63,OF-2019-146997,73178787,2019-07-16,2019-07-20,Standard Class,SG-20605,OFF-FA-10003467,5.94,3,0,0
64,ON-2019-155502,03505094,2019-07-19,2019-07-24,Standard Class,SD-20485,FUR-FU-10004587,62.82,3,0,30.7818
65,ON-2019-155502,97823501,2019-07-19,2019-07-24,Standard Class,SD-20485,OFF-ST-10004337,489.92,8,0,0
66,ON-2019-155502,32953143,2019-07-19,2019-07-24,Standard Class,SD-20485,OFF-PA-10003072,19.44,3,0,9.3312
67,ON-2019-155502,53502330,2019-07-19,2019-07-24,Standard Class,SD-20485,OFF-PA-10000380,16.68,2,0,8.34
68,ON-2019-155502,62048684,2019-07-19,2019-07-24,Standard Class,SD-20485,TEC-PH-10004833,155.35,13,0,0
69,ON-2019-155502,41908671,2019-07-19,2019-07-24,Standard Class,SD-20485,FUR-FU-10001847,12.42,3,0,4.4712
70,ON-2019-155502,23309823,2019-07-19,2019-07-24,Standard Class,SD-20485,TEC-PH-10002103,187.98,2,0,52.6344
71,OF-2019-167997,52441545,2019-07-19,2019-07-22,First Class,CA-11965,OFF-BI-10001758,10.68,2,0,5.0196
72,OF-2019-167997,71228788,2019-07-19,2019-07-22,First Class,CA-11965,FUR-BO-10004409,141.96,2,0,39.7488
73,ON-2019-117163,83255564,2019-07-20,2019-07-26,Standard Class,EJ-13720,OFF-ST-10003692,57.23,1,0,14.3075
74,ON-2019-117163,14285932,2019-07-20,2019-07-26,Standard Class,EJ-13720,FUR-TA-10003469,333,3,0.2,-16.65
75,ON-2019-117163,60536472,2019-07-20,2019-07-26,Standard Class,EJ-13720,OFF-AR-10003179,36.44,4,0,12.0252
76,OF-2019-100328,36512911,2019-07-21,2019-07-27,Standard Class,JC-15340,OFF-BI-10000343,3.928,1,0.2,1.3257
77,OF-2019-134103,39452602,2019-07-23,2019-07-28,Standard Class,MV-18190,OFF-PA-10001204,10.56,2,0,4.752
78,OF-2019-134103,17282582,2019-07-23,2019-07-28,Standard Class,MV-18190,OFF-ST-10000991,229.94,2,0,6.8982
79,OF-2019-115161,64186928,2019-07-24,2019-07-26,First Class,LC-17050,FUR-BO-10003966,290.666,2,0.15,3.4196
80,OF-2019-140795,08620444,2019-07-25,2019-07-27,First Class,BD-11500,TEC-AC-10001432,468.9,6,0,206.316
81,OF-2019-139857,86071462,2019-07-26,2019-07-30,Standard Class,CD-12790,OFF-FA-10001843,12.35,5,0,5.8045
82,OF-2019-123400,78627347,2019-07-26,2019-08-02,Standard Class,EB-13930,OFF-BI-10000666,18.336,2,0.7,-12.224
83,OF-2019-123400,71736993,2019-07-26,2019-08-02,Standard Class,EB-13930,TEC-PH-10002890,180.96,5,0.2,13.572
84,OF-2019-111059,82380795,2019-07-27,2019-07-30,Second Class,TB-21400,OFF-BI-10004593,83.84,2,0.2,27.248
85,OF-2019-111059,84323875,2019-07-27,2019-07-30,Second Class,TB-21400,OFF-BI-10002827,13.272,3,0.2,4.3134
86,OF-2019-107181,01952734,2019-07-28,2019-08-01,Standard Class,DB-13270,OFF-BI-10004230,82.896,3,0.2,29.0136
87,OF-2019-107181,78925898,2019-07-28,2019-08-01,Standard Class,DB-13270,OFF-PA-10000350,34.24,4,0,16.0928
88,OF-2019-104808,18423222,2019-07-28,2019-08-01,Second Class,MH-17440,OFF-BI-10003676,17.248,2,0.2,6.0368
89,OF-2019-131905,35769758,2019-07-30,2019-08-02,First Class,ND-18460,OFF-LA-10002787,15,4,0,7.2
90,OF-2019-131905,20085075,2019-07-30,2019-08-02,First Class,ND-18460,TEC-PH-10003645,161.61,1,0,42.0186
91,OF-2019-131905,18979002,2019-07-30,2019-08-02,First Class,ND-18460,TEC-PH-10001615,144.95,5,0,42.0355
92,OF-2019-108182,89935917,2019-07-30,2019-08-03,Second Class,DL-13315,OFF-BI-10001196,8.952,2,0.8,-14.7708
93,OF-2019-107755,02701097,2019-07-31,2019-08-05,Standard Class,CK-12760,TEC-AC-10000710,115.36,7,0,49.6048
94,ON-2019-169390,41217957,2019-07-31,2019-08-03,Second Class,CS-12250,OFF-ST-10001558,64.96,4,0,9.744
95,OF-2019-125759,30680599,2019-08-01,2019-08-02,First Class,NM-18445,FUR-FU-10002111,14.56,2,0,5.5328
96,OF-2019-127614,13335299,2019-08-04,2019-08-08,Standard Class,NF-18385,TEC-AC-10001432,234.45,3,0,103.158
97,OF-2019-127614,70519030,2019-08-04,2019-08-08,Standard Class,NF-18385,FUR-TA-10003715,1256.22,6,0,75.3732
98,OF-2019-127614,65867678,2019-08-04,2019-08-08,Standard Class,NF-18385,OFF-BI-10003291,17.46,2,0,8.2062
99,OF-2019-168368,77110765,2019-08-04,2019-08-08,Second Class,GA-14725,FUR-CH-10001146,60.89,1,0,15.2225
100,OF-2019-168368,73813352,2019-08-04,2019-08-08,Second Class,GA-14725,OFF-LA-10004853,14.94,3,0,6.8724
101,OF-2019-168368,34850309,2019-08-04,2019-08-08,Second Class,GA-14725,OFF-BI-10004728,9.64,2,0,4.4344
102,OF-2019-168368,79194626,2019-08-04,2019-08-08,Second Class,GA-14725,FUR-FU-10002298,332.94,3,0,53.2704
103,OF-2019-168368,16870498,2019-08-04,2019-08-08,Second Class,GA-14725,OFF-BI-10004654,51.9,3,0,24.393
104,OF-2019-168368,74180271,2019-08-04,2019-08-08,Second Class,GA-14725,OFF-ST-10002583,64.96,2,0,2.5984
105,ON-2019-110674,93283369,2019-08-05,2019-08-11,Standard Class,SC-20095,FUR-CH-10000225,129.568,2,0.2,-24.294
106,OF-2019-107706,65842700,2019-08-07,2019-08-12,Second Class,ST-20530,OFF-PA-10000466,16.176,3,0.2,6.066
107,OF-2019-121762,51453352,2019-08-07,2019-08-11,Standard Class,ML-17395,TEC-AC-10000736,239.97,3,0,86.3892
108,OF-2019-121762,77729016,2019-08-07,2019-08-11,Standard Class,ML-17395,OFF-AP-10001293,81.96,2,0,22.9488
109,OF-2019-121762,11609712,2019-08-07,2019-08-11,Standard Class,ML-17395,OFF-SU-10000157,238.62,2,0,4.7724
110,OF-2019-165568,17965480,2019-08-08,2019-08-12,Standard Class,BF-11020,OFF-BI-10001031,21.36,5,0.2,7.209
111,OF-2019-122567,47190117,2019-08-09,2019-08-14,Standard Class,MN-17935,OFF-BI-10002012,1.08,3,0.8,-1.728
112,OF-2019-122567,03510168,2019-08-09,2019-08-14,Standard Class,MN-17935,OFF-AP-10001303,7.96,2,0.8,-13.93
113,OF-2019-154165,89522787,2019-08-10,2019-08-17,Standard Class,DL-13315,OFF-AR-10003631,54.208,14,0.2,8.8088
114,ON-2019-165589,60908427,2019-08-11,2019-08-11,Same Day,TB-21595,FUR-FU-10002396,25.16,5,0.6,-11.322
115,OF-2019-152905,92099868,2019-08-11,2019-08-17,Standard Class,AB-10015,OFF-ST-10000321,12.624,2,0.2,-2.5248
116,OF-2019-109491,65168548,2019-08-13,2019-08-19,Standard Class,LC-16930,TEC-AC-10001284,62.31,3,0,22.4316
117,OF-2019-109491,66323580,2019-08-13,2019-08-19,Standard Class,LC-16930,FUR-FU-10000221,20.32,4,0,6.9088
118,OF-2019-164903,44887665,2019-08-13,2019-08-17,Standard Class,SR-20740,OFF-PA-10003363,12.96,2,0,6.2208
119,OF-2019-165540,85170725,2019-08-14,2019-08-18,Standard Class,TM-21010,OFF-BI-10004094,8.85,5,0.8,-13.7175
120,OF-2019-133354,88957556,2019-08-15,2019-08-17,First Class,SA-20830,OFF-PA-10001800,19.44,3,0,9.3312
121,OF-2019-103744,38672562,2019-08-16,2019-08-20,Standard Class,MG-17875,OFF-LA-10004425,6.936,3,0.2,2.3409
122,OF-2019-103744,35311079,2019-08-16,2019-08-20,Standard Class,MG-17875,OFF-BI-10000320,4.428,3,0.8,-6.8634
123,ON-2019-137680,16607015,2019-08-17,2019-08-23,Standard Class,JH-15430,OFF-PA-10000174,32.896,4,0.2,11.1024
124,ON-2019-137680,69734576,2019-08-17,2019-08-23,Standard Class,JH-15430,OFF-PA-10000069,22.776,3,0.2,7.6869
125,OF-2019-156545,28473638,2019-08-20,2019-08-24,First Class,JS-16030,OFF-AR-10003560,19.456,4,0.2,3.4048
126,OF-2019-104269,82547309,2019-08-22,2019-08-27,Second Class,DB-13060,FUR-CH-10004063,457.568,2,0.2,51.4764
127,ON-2019-143707,80314086,2019-08-22,2019-08-26,Standard Class,HR-14770,TEC-PH-10003655,5.94,3,0,1.6038
128,OF-2019-113880,37554848,2019-08-22,2019-08-26,Standard Class,VF-21715,FUR-CH-10000863,634.116,6,0.3,-172.1172
129,OF-2019-113880,53899973,2019-08-22,2019-08-26,Standard Class,VF-21715,OFF-PA-10003036,17.472,3,0.2,5.6784
130,OF-2019-131009,89623782,2019-08-22,2019-08-26,Standard Class,SC-20380,OFF-FA-10004395,18.84,5,0.2,-3.5325
131,OF-2019-131009,20312975,2019-08-22,2019-08-26,Standard Class,SC-20380,FUR-CH-10001270,362.25,6,0.3,0
132,OF-2019-131009,26330694,2019-08-22,2019-08-26,Standard Class,SC-20380,FUR-FU-10001095,63.552,6,0.6,-34.9536
133,OF-2019-131009,24361402,2019-08-22,2019-08-26,Standard Class,SC-20380,OFF-ST-10001469,129.552,3,0.2,-22.6716
134,OF-2019-168312,86774984,2019-08-22,2019-08-28,Standard Class,GW-14605,OFF-ST-10003692,137.352,3,0.2,8.5845
135,OF-2019-168312,82601111,2019-08-22,2019-08-28,Standard Class,GW-14605,FUR-TA-10001866,376.509,3,0.3,-43.0296
136,OF-2019-107524,54168116,2019-08-23,2019-08-29,Standard Class,KN-16705,OFF-EN-10001990,11.36,2,0,5.3392
137,OF-2019-107524,41022579,2019-08-23,2019-08-29,Standard Class,KN-16705,OFF-PA-10000587,36.4,5,0,17.472
138,OF-2019-111157,32593023,2019-08-23,2019-08-27,Standard Class,NH-18610,OFF-PA-10000327,3.424,1,0.2,1.07
139,OF-2019-111157,35306884,2019-08-23,2019-08-27,Standard Class,NH-18610,TEC-AC-10004353,151.2,3,0.2,32.13
140,OF-2019-155852,12835061,2019-08-24,2019-08-28,Second Class,AJ-10945,OFF-AR-10003560,19.456,4,0.2,3.4048
141,OF-2019-127964,88251839,2019-08-24,2019-08-29,Standard Class,AP-10720,TEC-PH-10004700,9.99,1,0,4.5954
142,OF-2019-127964,85509457,2019-08-24,2019-08-29,Standard Class,AP-10720,OFF-BI-10004593,125.76,3,0.2,40.872
143,OF-2019-127964,19251280,2019-08-24,2019-08-29,Standard Class,AP-10720,OFF-BI-10003429,25.32,5,0.2,9.1785
144,ON-2019-127978,29718413,2019-08-24,2019-08-29,Standard Class,JS-15595,OFF-LA-10000305,15.12,3,0.2,4.914
145,ON-2019-127978,95006375,2019-08-24,2019-08-29,Standard Class,JS-15595,FUR-BO-10001972,302.45,5,0.5,-199.617
146,ON-2019-127978,94491124,2019-08-24,2019-08-29,Standard Class,JS-15595,OFF-ST-10002486,44.672,8,0.2,-10.0512
147,OF-2019-130421,80930598,2019-08-24,2019-08-28,Standard Class,SC-20020,OFF-AP-10002534,176.772,3,0.8,-459.6072
148,OF-2019-105648,69381568,2019-08-24,2019-08-28,Standard Class,EJ-14155,FUR-TA-10002958,626.352,3,0.2,-23.4882
149,OF-2019-116239,20299997,2019-08-25,2019-08-25,Same Day,CL-12565,OFF-ST-10001370,354.9,5,0,17.745
150,OF-2019-117016,88680429,2019-08-25,2019-08-30,Standard Class,SC-20095,OFF-AR-10001374,15.552,3,0.2,2.3328
151,OF-2019-169061,18058478,2019-08-26,2019-08-29,Second Class,AB-10150,OFF-AR-10000588,59.52,3,0,15.4752
152,OF-2019-169061,56757587,2019-08-26,2019-08-29,Second Class,AB-10150,TEC-AC-10002001,479.97,3,0,177.5889
153,OF-2019-169061,29604758,2019-08-26,2019-08-29,Second Class,AB-10150,OFF-SU-10000381,18.62,2,0,5.3998
154,OF-2019-169061,73786675,2019-08-26,2019-08-29,Second Class,AB-10150,OFF-BI-10001617,49.632,6,0.2,16.7508
155,OF-2019-169061,21613243,2019-08-26,2019-08-29,Second Class,AB-10150,OFF-PA-10001878,97.82,2,0,45.9754
156,OF-2019-156587,13229143,2019-08-28,2019-08-29,First Class,AB-10015,FUR-CH-10004477,48.712,1,0.2,5.4801
157,OF-2019-156587,89258037,2019-08-28,2019-08-29,First Class,AB-10015,OFF-AR-10001427,17.94,3,0,4.6644
158,OF-2019-156587,05344890,2019-08-28,2019-08-29,First Class,AB-10015,OFF-ST-10002344,242.94,3,0,4.8588
159,ON-2019-131982,63457477,2019-08-28,2019-09-01,Second Class,NP-18685,OFF-BI-10004224,107.648,2,0.2,33.64
160,OF-2019-104563,71904872,2019-08-28,2019-09-02,Standard Class,CM-12715,OFF-AR-10000390,20.65,5,0,9.499
161,OF-2019-104563,34163430,2019-08-28,2019-09-02,Standard Class,CM-12715,OFF-ST-10000934,204.9,5,0,0
162,OF-2019-104563,65491370,2019-08-28,2019-09-02,Standard Class,CM-12715,FUR-CH-10002780,436.704,6,0.2,21.8352
163,OF-2019-104563,22594334,2019-08-28,2019-09-02,Standard Class,CM-12715,FUR-CH-10004495,481.568,2,0.2,54.1764
164,ON-2019-100279,96472609,2019-08-31,2019-09-04,Standard Class,SW-20275,OFF-PA-10002259,22.38,2,0,10.7424
165,ON-2019-140116,80947611,2019-08-31,2019-09-07,Standard Class,KT-16480,OFF-ST-10000078,636.408,3,0.2,-15.9102
166,ON-2019-140116,89014148,2019-08-31,2019-09-07,Standard Class,KT-16480,OFF-AR-10001044,83.168,4,0.2,9.3564
167,OF-2019-166884,28968541,2019-09-01,2019-09-06,Second Class,CK-12205,FUR-FU-10003981,8.32,5,0.2,2.288
168,OF-2019-166884,83565353,2019-09-01,2019-09-06,Second Class,CK-12205,OFF-FA-10001561,10.464,6,0.2,1.7004
169,OF-2019-158337,72744255,2019-09-01,2019-09-04,Second Class,KA-16525,OFF-PA-10002137,108.92,14,0,49.014
170,OF-2019-114790,83448045,2019-09-01,2019-09-03,Second Class,FM-14215,OFF-AP-10002578,146.76,3,0,38.1576
171,OF-2019-114790,88829168,2019-09-01,2019-09-03,Second Class,FM-14215,TEC-AC-10000710,32.96,2,0,14.1728
172,OF-2019-114790,08280672,2019-09-01,2019-09-03,Second Class,FM-14215,TEC-PH-10000984,587.97,3,0,164.6316
173,OF-2019-114790,52753719,2019-09-01,2019-09-03,Second Class,FM-14215,OFF-PA-10000213,14.94,3,0,7.0218
174,ON-2019-103338,32042481,2019-09-01,2019-09-05,Standard Class,RB-19435,OFF-AR-10001770,7.98,3,0,2.0748
175,OF-2019-157623,52068613,2019-09-04,2019-09-08,Standard Class,DK-13225,OFF-PA-10001204,10.56,2,0,4.752
176,OF-2019-157623,54586088,2019-09-04,2019-09-08,Standard Class,DK-13225,OFF-AR-10003723,3.38,1,0,1.2506
177,ON-2019-125521,46534075,2019-09-04,2019-09-09,Standard Class,CK-12325,FUR-CH-10003379,1139.92,4,0,284.98
178,OF-2019-114510,99891032,2019-09-04,2019-09-09,Standard Class,JF-15295,OFF-BI-10001617,33.088,4,0.2,11.1672
179,OF-2019-114510,65366317,2019-09-04,2019-09-09,Standard Class,JF-15295,OFF-ST-10000736,80.98,1,0,3.2392
180,OF-2019-114510,99443099,2019-09-04,2019-09-09,Standard Class,JF-15295,TEC-AC-10004877,82.8,12,0,6.624
181,OF-2019-114510,18961809,2019-09-04,2019-09-09,Standard Class,JF-15295,OFF-ST-10003221,21.36,2,0,5.7672
182,OF-2019-114510,88729087,2019-09-04,2019-09-09,Standard Class,JF-15295,OFF-BI-10003007,62.048,2,0.2,20.1656
183,OF-2019-152618,05668029,2019-09-04,2019-09-07,First Class,RB-19465,TEC-MA-10003626,574.91,2,0.3,156.047
184,OF-2019-152618,15029763,2019-09-04,2019-09-07,First Class,RB-19465,OFF-PA-10001215,8.448,2,0.2,2.64
185,OF-2019-100293,01705682,2019-09-04,2019-09-08,Standard Class,NF-18475,OFF-PA-10000176,91.056,6,0.2,31.8696
186,OF-2019-149958,64823675,2019-09-05,2019-09-09,Standard Class,AS-10240,OFF-ST-10001490,142.776,1,0.2,17.847
187,OF-2019-149958,03963822,2019-09-05,2019-09-09,Standard Class,AS-10240,FUR-FU-10001756,45.696,3,0.2,5.1408
188,OF-2019-149958,43361493,2019-09-05,2019-09-09,Standard Class,AS-10240,OFF-BI-10000773,7.218,3,0.7,-5.5338
189,OF-2019-149958,72678427,2019-09-05,2019-09-09,Standard Class,AS-10240,OFF-BI-10001543,43.188,4,0.7,-31.6712
190,OF-2019-149958,26788663,2019-09-05,2019-09-09,Standard Class,AS-10240,OFF-PA-10002120,131.904,3,0.2,47.8152
191,OF-2019-157609,23538963,2019-09-06,2019-09-11,Second Class,KN-16705,TEC-PH-10002415,471.92,2,0.2,29.495
192,OF-2019-118339,58289439,2019-09-07,2019-09-14,Standard Class,BN-11515,OFF-AP-10001154,93.78,2,0,36.5742
193,OF-2019-118339,23907360,2019-09-07,2019-09-14,Standard Class,BN-11515,OFF-PA-10000466,47.18,7,0,23.59
194,OF-2019-118339,15212954,2019-09-07,2019-09-14,Standard Class,BN-11515,OFF-AR-10003829,19.68,6,0,5.7072
195,OF-2019-118339,66505126,2019-09-07,2019-09-14,Standard Class,BN-11515,OFF-BI-10001758,53.4,10,0,25.098
196,OF-2019-118339,45755325,2019-09-07,2019-09-14,Standard Class,BN-11515,OFF-BI-10000136,35.88,6,0,17.2224
197,ON-2019-148838,92744350,2019-09-07,2019-09-11,Standard Class,CP-12340,FUR-TA-10003473,1579.746,7,0.4,-447.5947
198,ON-2019-148838,90732928,2019-09-07,2019-09-11,Standard Class,CP-12340,FUR-TA-10001950,1071.576,4,0.4,-553.6476
199,ON-2019-148838,77274564,2019-09-07,2019-09-11,Standard Class,CP-12340,FUR-TA-10004175,613.908,3,0.4,-122.7816
200,ON-2019-148838,77028164,2019-09-07,2019-09-11,Standard Class,CP-12340,OFF-PA-10002960,34.86,7,0,16.3842
201,ON-2019-148838,61854952,2019-09-07,2019-09-11,Standard Class,CP-12340,OFF-PA-10000919,155.04,4,0,75.9696
202,OF-2019-158442,99035073,2019-09-07,2019-09-07,Same Day,AZ-10750,OFF-AR-10003732,4.448,2,0.2,0.3336
203,OF-2019-158442,75924321,2019-09-07,2019-09-07,Same Day,AZ-10750,OFF-PA-10002195,5.184,1,0.2,1.8792
204,OF-2019-158442,61746529,2019-09-07,2019-09-07,Same Day,AZ-10750,OFF-PA-10002365,15.552,3,0.2,5.4432
205,ON-2019-164763,54687821,2019-09-07,2019-09-11,Standard Class,MH-17440,OFF-BI-10000605,11.43,3,0,5.3721
206,ON-2019-164763,26442443,2019-09-07,2019-09-11,Standard Class,MH-17440,OFF-BI-10000309,30.44,2,0,14.9156
207,ON-2019-164763,13227168,2019-09-07,2019-09-11,Standard Class,MH-17440,OFF-PA-10003349,12.96,2,0,6.3504
208,ON-2019-164763,69406909,2019-09-07,2019-09-11,Standard Class,MH-17440,OFF-PA-10003063,16,4,0,7.68
209,ON-2019-164763,42779421,2019-09-07,2019-09-11,Standard Class,MH-17440,OFF-AP-10003971,32.67,3,0,8.4942
210,OF-2019-127859,51494698,2019-09-07,2019-09-10,Second Class,QJ-19255,OFF-PA-10003641,126.624,6,0.2,41.1528
211,OF-2019-145317,42028310,2019-09-08,2019-09-13,Standard Class,SM-20320,TEC-MA-10003626,821.3,4,0.5,-16.426
212,OF-2019-145317,68448979,2019-09-08,2019-09-13,Standard Class,SM-20320,TEC-MA-10002412,22638.48,6,0.5,-1811.0784
